Latitude,Longitude,City,State,Month,Year,Maximum Temperature,Average Temperature,Minimum Temperature,Precipitation Average,Wind Average
"25.8 °N,",0.28 °W,Miami,FL,January,2011,84,66.72,0,0.00,6.89
"25.8 °N,",0.28 °W,Miami,FL,February,2011,86,71.46,0,0.00,7.03
"25.8 °N,",0.28 °W,Miami,FL,March,2011,90,73.34,53,0.00,8.43
"25.8 °N,",0.28 °W,Miami,FL,April,2011,91,79.39,67,0.00,8.56
"25.8 °N,",0.28 °W,Miami,FL,May,2011,92,80.72,69,0.00,8.45
"25.8 °N,",0.28 °W,Miami,FL,June,2011,95,82.81,73,0.00,8.01
"25.8 °N,",0.28 °W,Miami,FL,July,2011,95,83.99,0,0.00,6.19
"25.8 °N,",0.28 °W,Miami,FL,August,2011,94,83.37,73,0.00,5.48
"25.8 °N,",0.28 °W,Miami,FL,September,2011,93,82.92,73,0.00,5.35
"25.8 °N,",0.28 °W,Miami,FL,October,2011,90,78.13,64,0.00,7.81
"25.8 °N,",0.28 °W,Miami,FL,November,2011,85,74.86,59,0.00,8.59
"25.8 °N,",0.28 °W,Miami,FL,December,2011,82,72.75,55,0.00,8.14
"25.8 °N,",0.28 °W,Miami,FL,January,2012,84,68.56,43,0.00,6.38
"25.8 °N,",0.28 °W,Miami,FL,February,2012,87,72.3,27,0.00,8.08
"25.8 °N,",0.28 °W,Miami,FL,March,2012,85,74.63,54,0.00,10.02
"25.8 °N,",0.28 °W,Miami,FL,April,2012,89,75.08,0,0.00,8.77
"25.8 °N,",0.28 °W,Miami,FL,May,2012,91,78.88,70,0.00,7.18
"25.8 °N,",0.28 °W,Miami,FL,June,2012,93,82.04,72,0.00,8.27
"25.8 °N,",0.28 °W,Miami,FL,July,2012,92,82.75,71,0.00,5.96
"25.8 °N,",0.28 °W,Miami,FL,August,2012,92,83.11,73,0.00,7.28
"25.8 °N,",0.28 °W,Miami,FL,September,2012,92,81.85,73,0.00,5.8
"25.8 °N,",0.28 °W,Miami,FL,October,2012,91,78.71,57,0.00,7.62
"25.8 °N,",0.28 °W,Miami,FL,November,2012,83,70.97,0,0.00,6.63
"25.8 °N,",0.28 °W,Miami,FL,December,2012,85,71.86,48,0.00,6.81
"25.8 °N,",0.28 °W,Miami,FL,January,2013,83,72.72,55,0.00,7.61
"25.8 °N,",0.28 °W,Miami,FL,February,2013,85,71.08,48,0.00,7.57
"25.8 °N,",0.28 °W,Miami,FL,March,2013,89,67.76,46,0.00,7.29
"25.8 °N,",0.28 °W,Miami,FL,April,2013,89,77.15,61,0.00,9.08
"25.8 °N,",0.28 °W,Miami,FL,May,2013,93,77.98,0,0.00,8.23
"25.8 °N,",0.28 °W,Miami,FL,June,2013,92,82.08,73,0.00,7.7
"25.8 °N,",0.28 °W,Miami,FL,July,2013,92,81.74,72,0.00,7.8
"25.8 °N,",0.28 °W,Miami,FL,August,2013,91,83.35,72,0.00,7.28
"25.8 °N,",0.28 °W,Miami,FL,September,2013,91,81.93,73,0.00,5.87
"25.8 °N,",0.28 °W,Miami,FL,October,2013,91,79.99,70,0.00,6.39
"25.8 °N,",0.28 °W,Miami,FL,November,2013,88,76.34,52,0.00,8.94
"25.8 °N,",0.28 °W,Miami,FL,December,2013,85,74.79,61,0.00,8.35
"25.8 °N,",0.28 °W,Miami,FL,January,2014,84,68.03,46,0.00,6.71
"25.8 °N,",0.28 °W,Miami,FL,February,2014,85,73.71,52,0.00,6.97
"25.8 °N,",0.28 °W,Miami,FL,March,2014,89,73.12,57,0.07,8.55
"25.8 °N,",0.28 °W,Miami,FL,April,2014,89,76.88,0,0.04,9.14
"25.8 °N,",0.28 °W,Miami,FL,May,2014,90,79.95,68,0.11,10.52
"25.8 °N,",0.28 °W,Miami,FL,June,2014,93,80.33,70,0.59,6.97
"25.8 °N,",0.28 °W,Miami,FL,July,2014,95,82.61,71,0.38,5.46
"25.8 °N,",0.28 °W,Miami,FL,August,2014,94,84.05,74,0.31,5.83
"25.8 °N,",0.28 °W,Miami,FL,September,2014,92,81.59,73,0.24,6.25
"25.8 °N,",0.28 °W,Miami,FL,October,2014,92,79.21,0,0.10,6.84
"25.8 °N,",0.28 °W,Miami,FL,November,2014,88,72.17,52,0.09,8.61
"25.8 °N,",0.28 °W,Miami,FL,December,2014,83,70.97,50,0.04,6.17
"25.8 °N,",0.28 °W,Miami,FL,January,2015,84,70.48,53,0.03,7.72
"25.8 °N,",0.28 °W,Miami,FL,February,2015,86,68.19,42,0.06,8.5
"25.8 °N,",0.28 °W,Miami,FL,March,2015,90,75.98,58,0.08,8.93
"25.8 °N,",0.28 °W,Miami,FL,April,2015,96,79.53,67,0.13,8.67
"25.8 °N,",0.28 °W,Miami,FL,May,2015,92,80.38,68,0.06,9.98
"25.8 °N,",0.28 °W,Miami,FL,June,2015,94,82.84,72,0.13,7.77
"25.8 °N,",0.28 °W,Miami,FL,July,2015,95,83.81,74,0.12,7.07
"25.8 °N,",0.28 °W,Miami,FL,August,2015,93,83.95,75,0.36,5.81
"25.8 °N,",0.28 °W,Miami,FL,September,2015,94,82.2,0,0.33,5.49
"25.8 °N,",0.28 °W,Miami,FL,October,2015,91,79.76,72,0.15,7.55
"25.8 °N,",0.28 °W,Miami,FL,November,2015,88,77.82,63,0.26,8.79
"25.8 °N,",0.28 °W,Miami,FL,December,2015,85,76.69,64,0.32,8.95
"25.8 °N,",0.28 °W,Miami,FL,January,2016,83,67.35,47,0.24,7.75
"25.8 °N,",0.28 °W,Miami,FL,February,2016,85,67.99,50,0.10,8.56
"25.8 °N,",0.28 °W,Miami,FL,March,2016,90,75.47,57,0.02,9.23
"25.8 °N,",0.28 °W,Miami,FL,April,2016,90,76.34,0,0.04,9.21
"25.8 °N,",0.28 °W,Miami,FL,May,2016,92,78.94,0,0.27,7.82
"25.8 °N,",0.28 °W,Miami,FL,June,2016,94,82.43,72,0.24,7.19
"25.8 °N,",0.28 °W,Miami,FL,July,2016,92,84.4,72,0.18,7.62
"25.8 °N,",0.28 °W,Miami,FL,August,2016,94,83.18,0,0.42,7.78
"25.8 °N,",0.28 °W,Miami,FL,September,2016,92,82.58,72,0.22,5.82
"25.8 °N,",0.28 °W,Miami,FL,October,2016,91,80.15,66,0.32,9.54
"25.8 °N,",0.28 °W,Miami,FL,November,2016,83,74.12,58,0.03,7.37
"25.8 °N,",0.28 °W,Miami,FL,December,2016,86,75.91,0,0.08,8.34
"25.8 °N,",0.28 °W,Miami,FL,January,2017,87,72.18,51,0.11,8.38
"25.8 °N,",0.28 °W,Miami,FL,February,2017,86,72.28,57,0.05,7.1
"25.8 °N,",0.28 °W,Miami,FL,March,2017,87,72.62,53,0.13,9.15
"25.8 °N,",0.28 °W,Miami,FL,April,2017,91,77.36,58,0.07,11.32
"25.8 °N,",0.28 °W,Miami,FL,May,2017,97,81.76,66,0.09,9.2
"25.8 °N,",0.28 °W,Miami,FL,June,2017,92,82.72,72,0.53,8.41
"25.8 °N,",0.28 °W,Miami,FL,July,2017,93,85.13,72,0.37,7.37
"25.8 °N,",0.28 °W,Miami,FL,August,2017,94,85.14,73,0.31,7.11
"25.8 °N,",0.28 °W,Miami,FL,September,2017,94,81.44,0,0.34,7
"25.8 °N,",0.28 °W,Miami,FL,October,2017,90,80.34,59,0.41,9.66
"25.8 °N,",0.28 °W,Miami,FL,November,2017,86,76.71,65,0.15,6.83
"25.8 °N,",0.28 °W,Miami,FL,December,2017,86,71.51,49,0.02,5.78
"25.8 °N,",0.28 °W,Miami,FL,January,2018,84,68.09,44,0.03,9.59
