Latitude,Longitude,City,State,Month,Year,Maximum Temperature,Average Temperature,Minimum Temperature,Precipitation Average,Wind Average
41.79 °N,87.74 °W,Chicago,IL,January,2011,43,22.46,-1,0.00,9.6
41.79 °N,87.74 °W,Chicago,IL,February,2011,57,28.14,-5,0.00,11.14
41.79 °N,87.74 °W,Chicago,IL,March,2011,68,37.7,24,0.00,10.06
41.79 °N,87.74 °W,Chicago,IL,April,2011,83,48.96,32,0.00,11.99
41.79 °N,87.74 °W,Chicago,IL,May,2011,91,59.29,39,0.00,10.66
41.79 °N,87.74 °W,Chicago,IL,June,2011,96,70.72,0,0.00,9.17
41.79 °N,87.74 °W,Chicago,IL,July,2011,101,79.9,65,0.00,7.65
41.79 °N,87.74 °W,Chicago,IL,August,2011,93,74.3,0,0.00,7.1
41.79 °N,87.74 °W,Chicago,IL,September,2011,94,63.34,44,0.00,8.74
41.79 °N,87.74 °W,Chicago,IL,October,2011,84,55.58,36,0.00,7.98
41.79 °N,87.74 °W,Chicago,IL,November,2011,72,45.41,25,0.00,11.83
41.79 °N,87.74 °W,Chicago,IL,December,2011,57,35.96,13,0.00,9.36
41.79 °N,87.74 °W,Chicago,IL,January,2012,57,31.26,6,0.00,10.1
41.79 °N,87.74 °W,Chicago,IL,February,2012,60,33.32,10,0.00,9.8
41.79 °N,87.74 °W,Chicago,IL,March,2012,85,53.64,21,0.00,11.09
41.79 °N,87.74 °W,Chicago,IL,April,2012,75,50.91,32,0.00,10.94
41.79 °N,87.74 °W,Chicago,IL,May,2012,97,66.02,46,0.00,9.67
41.79 °N,87.74 °W,Chicago,IL,June,2012,100,74.66,49,0.00,9.91
41.79 °N,87.74 °W,Chicago,IL,July,2012,103,82.1,66,0.00,8.78
41.79 °N,87.74 °W,Chicago,IL,August,2012,94,75.18,57,0.00,6.81
41.79 °N,87.74 °W,Chicago,IL,September,2012,88,65.81,42,0.00,8.72
41.79 °N,87.74 °W,Chicago,IL,October,2012,81,53.08,35,0.00,11.09
41.79 °N,87.74 °W,Chicago,IL,November,2012,70,42.28,20,0.00,7.72
41.79 °N,87.74 °W,Chicago,IL,December,2012,71,37.84,16,0.00,10
41.79 °N,87.74 °W,Chicago,IL,January,2013,61,28.19,0,0.00,11.1
41.79 °N,87.74 °W,Chicago,IL,February,2013,52,27.93,1,0.00,11.16
41.79 °N,87.74 °W,Chicago,IL,March,2013,59,33.69,15,0.00,10.3
41.79 °N,87.74 °W,Chicago,IL,April,2013,85,47.5,26,0.00,11.56
41.79 °N,87.74 °W,Chicago,IL,May,2013,90,62.49,38,0.00,9.3
41.79 °N,87.74 °W,Chicago,IL,June,2013,90,69.15,43,0.00,8.92
41.79 °N,87.74 °W,Chicago,IL,July,2013,96,74.8,55,0.00,8.33
41.79 °N,87.74 °W,Chicago,IL,August,2013,95,74.27,57,0.00,7.83
41.79 °N,87.74 °W,Chicago,IL,September,2013,95,68.51,0,0.00,8.46
41.79 °N,87.74 °W,Chicago,IL,October,2013,81,54.92,30,0.00,8.47
41.79 °N,87.74 °W,Chicago,IL,November,2013,68,38.79,12,0.00,11.35
41.79 °N,87.74 °W,Chicago,IL,December,2013,57,25.54,-3,0.00,9.66
41.79 °N,87.74 °W,Chicago,IL,January,2014,46,17.78,-14,0.00,12.6
41.79 °N,87.74 °W,Chicago,IL,February,2014,52,19.08,-3,0.00,10.1
41.79 °N,87.74 °W,Chicago,IL,March,2014,66,32.36,1,0.02,11.54
41.79 °N,87.74 °W,Chicago,IL,April,2014,80,49.66,27,0.08,11.55
41.79 °N,87.74 °W,Chicago,IL,May,2014,92,62.95,41,0.15,10.3
41.79 °N,87.74 °W,Chicago,IL,June,2014,93,72.1,55,0.14,9.48
41.79 °N,87.74 °W,Chicago,IL,July,2014,91,72.48,56,0.12,9.08
41.79 °N,87.74 °W,Chicago,IL,August,2014,91,75,55,0.30,8.25
41.79 °N,87.74 °W,Chicago,IL,September,2014,88,66.07,42,0.08,8.14
41.79 °N,87.74 °W,Chicago,IL,October,2014,78,54.92,0,0.06,9.84
41.79 °N,87.74 °W,Chicago,IL,November,2014,64,36.68,12,0.04,12.18
41.79 °N,87.74 °W,Chicago,IL,December,2014,53,34.79,6,0.03,9.93
41.79 °N,87.74 °W,Chicago,IL,January,2015,45,25.77,-6,0.04,10.23
41.79 °N,87.74 °W,Chicago,IL,February,2015,43,19.11,-4,0.02,11.1
41.79 °N,87.74 °W,Chicago,IL,March,2015,74,38.09,6,0.02,10.13
41.79 °N,87.74 °W,Chicago,IL,April,2015,78,52.25,32,0.10,10.9
41.79 °N,87.74 °W,Chicago,IL,May,2015,86,63.26,40,0.12,10.45
41.79 °N,87.74 °W,Chicago,IL,June,2015,93,69.71,46,0.20,8.57
41.79 °N,87.74 °W,Chicago,IL,July,2015,93,75.08,56,0.07,8.29
41.79 °N,87.74 °W,Chicago,IL,August,2015,94,74.04,57,0.09,8.44
41.79 °N,87.74 °W,Chicago,IL,September,2015,94,71.19,51,0.08,8.76
41.79 °N,87.74 °W,Chicago,IL,October,2015,79,56.48,36,0.03,11.31
41.79 °N,87.74 °W,Chicago,IL,November,2015,74,47.28,14,0.11,11.4
41.79 °N,87.74 °W,Chicago,IL,December,2015,63,40.98,17,0.11,11.4
41.79 °N,87.74 °W,Chicago,IL,January,2016,49,27.53,-2,0.02,10.62
41.79 °N,87.74 °W,Chicago,IL,February,2016,64,32.43,4,0.01,11.74
41.79 °N,87.74 °W,Chicago,IL,March,2016,72,45.02,16,0.09,10.6
41.79 °N,87.74 °W,Chicago,IL,April,2016,83,49.53,24,0.04,11.29
41.79 °N,87.74 °W,Chicago,IL,May,2016,89,61.75,38,0.14,9.95
41.79 °N,87.74 °W,Chicago,IL,June,2016,94,74.01,55,0.08,9.32
41.79 °N,87.74 °W,Chicago,IL,July,2016,93,76.83,60,0.12,8.54
41.79 °N,87.74 °W,Chicago,IL,August,2016,94,77.44,60,0.21,7.73
41.79 °N,87.74 °W,Chicago,IL,September,2016,93,71.9,52,0.02,9.72
41.79 °N,87.74 °W,Chicago,IL,October,2016,84,59.36,40,0.12,9.02
41.79 °N,87.74 °W,Chicago,IL,November,2016,76,48.66,24,0.06,9.28
41.79 °N,87.74 °W,Chicago,IL,December,2016,55,27.6,-6,0.04,10.89
41.79 °N,87.74 °W,Chicago,IL,January,2017,60,30.47,1,0.09,10.34
41.79 °N,87.74 °W,Chicago,IL,February,2017,70,39.78,14,0.03,10.79
41.79 °N,87.74 °W,Chicago,IL,March,2017,81,39.36,17,0.18,12.35
41.79 °N,87.74 °W,Chicago,IL,April,2017,81,54.56,35,0.17,11.44
41.79 °N,87.74 °W,Chicago,IL,May,2017,89,58.71,38,0.16,11.26
41.79 °N,87.74 °W,Chicago,IL,June,2017,95,73.41,54,0.07,10.44
41.79 °N,87.74 °W,Chicago,IL,July,2017,92,75.83,58,0.08,8.57
41.79 °N,87.74 °W,Chicago,IL,August,2017,90,72.36,55,0.01,8.15
41.79 °N,87.74 °W,Chicago,IL,September,2017,94,70.42,50,0.02,8.42
41.79 °N,87.74 °W,Chicago,IL,October,2017,83,58.1,34,0.10,10.62
41.79 °N,87.74 °W,Chicago,IL,November,2017,62,41.55,20,0.08,9.82
41.79 °N,87.74 °W,Chicago,IL,December,2017,65,28.59,-2,0.01,10.93
41.79 °N,87.74 °W,Chicago,IL,January,2018,60,26.29,-9,0.03,11.82
41.79 °N,87.74 °W,Chicago,IL,February,2018,66,30.98,-1,0.16,10.87
41.79 °N,87.74 °W,Chicago,IL,March,2018,58,37.35,22,0.04,10.94
41.79 °N,87.74 °W,Chicago,IL,April,2018,80,42.21,21,0.05,10.52
41.79 °N,87.74 °W,Chicago,IL,May,2018,96,66.94,45,0.12,8.99
41.79 °N,87.74 °W,Chicago,IL,June,2018,94,71.92,52,0.18,9.02
41.79 °N,87.74 °W,Chicago,IL,July,2018,95,76.76,62,0.06,8.51
41.79 °N,87.74 °W,Chicago,IL,August,2018,96,76.88,60,0.05,8.28
41.79 °N,87.74 °W,Chicago,IL,September,2018,95,69.41,42,0.11,8.99
41.79 °N,87.74 °W,Chicago,IL,October,2018,88,53.35,28,0.16,9.67
41.79 °N,87.74 °W,Chicago,IL,November,2018,52,35.62,18,0.06,10.18
41.79 °N,87.74 °W,Chicago,IL,December,2018,54,33.99,17,0.06,9.27
41.79 °N,87.74 °W,Chicago,IL,January,2019,55,23.02,-21,0.06,11.28
41.79 °N,87.74 °W,Chicago,IL,February,2019,51,27.7,3,0.05,11.06
41.79 °N,87.74 °W,Chicago,IL,March,2019,65,35.61,-2,0.07,11
41.79 °N,87.74 °W,Chicago,IL,April,2019,80,50.5,28,0.11,11.68
41.79 °N,87.74 °W,Chicago,IL,May,2019,83,58.75,43,0.14,9.59
41.79 °N,87.74 °W,Chicago,IL,June,2019,90,68.68,51,0.09,9.26
41.79 °N,87.74 °W,Chicago,IL,July,2019,96,77.97,62,0.15,9.35
41.79 °N,87.74 °W,Chicago,IL,August,2019,90,74.07,60,0.11,8.15
41.79 °N,87.74 °W,Chicago,IL,September,2019,90,70.61,57,0.13,8.94
41.79 °N,87.74 °W,Chicago,IL,October,2019,88,52.88,28,0.16,10.15
41.79 °N,87.74 °W,Chicago,IL,November,2019,57,36.25,9,0.04,9.89
41.79 °N,87.74 °W,Chicago,IL,December,2019,62,35.41,14,0.03,10.2
41.79 °N,87.74 °W,Chicago,IL,January,2020,50,31.69,3,0.08,10.04
41.79 °N,87.74 °W,Chicago,IL,February,2020,55,30.18,-1,0.02,11.26
41.79 °N,87.74 °W,Chicago,IL,March,2020,67,41.74,24,0.09,10.92
41.79 °N,87.74 °W,Chicago,IL,April,2020,80,47.69,28,0.17,10.4
41.79 °N,87.74 °W,Chicago,IL,May,2020,89,59.58,32,0.25,9.41
41.79 °N,87.74 °W,Chicago,IL,June,2020,94,73.89,54,0.12,9.24
41.79 °N,87.74 °W,Chicago,IL,July,2020,94,78.85,64,0.07,8.46
41.79 °N,87.74 °W,Chicago,IL,August,2020,95,76.25,57,0.02,8.28
41.79 °N,87.74 °W,Chicago,IL,September,2020,87,66.19,45,0.10,9.82
41.79 °N,87.74 °W,Chicago,IL,October,2020,81,51.41,31,0.14,10.37
41.79 °N,87.74 °W,Chicago,IL,November,2020,76,46.89,28,0.06,11.82
41.79 °N,87.74 °W,Chicago,IL,December,2020,57,33.45,9,0.07,9.98
41.79 °N,87.74 °W,Chicago,IL,January,2021,42,30.18,12,0.02,10.16
41.79 °N,87.74 °W,Chicago,IL,February,2021,49,21.43,-6,0.02,10.16
41.79 °N,87.74 °W,Chicago,IL,March,2021,68,44.71,23,0.03,11.67
