Latitude,Longitude,City,State,Month,Year,Maximum Temperature,Average Temperature,Minimum Temperature,Precipitation Average,Wind Average
39.72 °N,86.3 °W,Indianapolis,IN,January,2011,55,24.43,-2,0.00,9.33
39.72 °N,86.3 °W,Indianapolis,IN,February,2011,66,33.31,0,0.00,11.26
39.72 °N,86.3 °W,Indianapolis,IN,March,2011,77,43.43,25,0.00,10.96
39.72 °N,86.3 °W,Indianapolis,IN,April,2011,82,55.11,32,0.00,12.52
39.72 °N,86.3 °W,Indianapolis,IN,May,2011,90,63.47,37,0.00,9.1
39.72 °N,86.3 °W,Indianapolis,IN,June,2011,94,73.16,59,0.00,8.77
39.72 °N,86.3 °W,Indianapolis,IN,July,2011,99,81.72,64,0.00,6.93
39.72 °N,86.3 °W,Indianapolis,IN,August,2011,95,76.33,58,0.00,7.26
39.72 °N,86.3 °W,Indianapolis,IN,September,2011,99,65.03,46,0.00,9.36
39.72 °N,86.3 °W,Indianapolis,IN,October,2011,83,55.54,32,0.00,8.24
39.72 °N,86.3 °W,Indianapolis,IN,November,2011,72,48.31,27,0.00,11.79
39.72 °N,86.3 °W,Indianapolis,IN,December,2011,61,38.13,16,0.00,8.93
39.72 °N,86.3 °W,Indianapolis,IN,January,2012,60,33.92,12,0.00,11.83
39.72 °N,86.3 °W,Indianapolis,IN,February,2012,69,37.03,14,0.00,10.2
39.72 °N,86.3 °W,Indianapolis,IN,March,2012,83,55.91,25,0.00,10.62
39.72 °N,86.3 °W,Indianapolis,IN,April,2012,83,54.61,29,0.00,10.41
39.72 °N,86.3 °W,Indianapolis,IN,May,2012,91,69.03,42,0.00,7.91
39.72 °N,86.3 °W,Indianapolis,IN,June,2012,104,74.72,48,0.00,9.05
39.72 °N,86.3 °W,Indianapolis,IN,July,2012,105,83.28,63,0.00,7.9
39.72 °N,86.3 °W,Indianapolis,IN,August,2012,98,74.57,55,0.00,6.68
39.72 °N,86.3 °W,Indianapolis,IN,September,2012,87,64.79,39,0.00,6.96
39.72 °N,86.3 °W,Indianapolis,IN,October,2012,78,52.34,34,0.00,10.81
39.72 °N,86.3 °W,Indianapolis,IN,November,2012,71,41.26,23,0.00,6.96
39.72 °N,86.3 °W,Indianapolis,IN,December,2012,68,38.26,12,0.00,10.14
39.72 °N,86.3 °W,Indianapolis,IN,January,2013,64,30.44,4,0.00,10.72
39.72 °N,86.3 °W,Indianapolis,IN,February,2013,59,30.46,5,0.00,11.45
39.72 °N,86.3 °W,Indianapolis,IN,March,2013,66,35.04,0,0.00,10.7
39.72 °N,86.3 °W,Indianapolis,IN,April,2013,81,52.33,24,0.00,10.76
39.72 °N,86.3 °W,Indianapolis,IN,May,2013,85,64.96,37,0.00,9.81
39.72 °N,86.3 °W,Indianapolis,IN,June,2013,88,71.4,48,0.00,8.56
39.72 °N,86.3 °W,Indianapolis,IN,July,2013,93,73.76,51,0.00,7.47
39.72 °N,86.3 °W,Indianapolis,IN,August,2013,95,74.25,53,0.00,6.65
39.72 °N,86.3 °W,Indianapolis,IN,September,2013,96,68.88,49,0.00,7.44
39.72 °N,86.3 °W,Indianapolis,IN,October,2013,81,54.36,26,0.00,7.82
39.72 °N,86.3 °W,Indianapolis,IN,November,2013,66,39.38,13,0.00,10.39
39.72 °N,86.3 °W,Indianapolis,IN,December,2013,61,29.82,2,0.00,10.32
39.72 °N,86.3 °W,Indianapolis,IN,January,2014,50,20.5,-14,0.00,12.56
39.72 °N,86.3 °W,Indianapolis,IN,February,2014,61,22.64,-7,0.00,10.05
39.72 °N,86.3 °W,Indianapolis,IN,March,2014,68,35.17,7,0.03,11.68
39.72 °N,86.3 °W,Indianapolis,IN,April,2014,77,52.83,26,0.18,11.47
39.72 °N,86.3 °W,Indianapolis,IN,May,2014,84,62.79,39,0.16,9.99
39.72 °N,86.3 °W,Indianapolis,IN,June,2014,88,71.96,53,0.21,9.13
39.72 °N,86.3 °W,Indianapolis,IN,July,2014,87,70.13,53,0.12,8.38
39.72 °N,86.3 °W,Indianapolis,IN,August,2014,92,73.31,50,0.09,7.12
39.72 °N,86.3 °W,Indianapolis,IN,September,2014,89,65.14,45,0.08,7.39
39.72 °N,86.3 °W,Indianapolis,IN,October,2014,81,53.82,0,0.10,9.89
39.72 °N,86.3 °W,Indianapolis,IN,November,2014,65,35.97,9,0.10,11.67
39.72 °N,86.3 °W,Indianapolis,IN,December,2014,53,33.65,10,0.08,9.47
39.72 °N,86.3 °W,Indianapolis,IN,January,2015,52,25.41,-7,0.05,10.27
39.72 °N,86.3 °W,Indianapolis,IN,February,2015,55,20.75,-6,0.04,11.15
39.72 °N,86.3 °W,Indianapolis,IN,March,2015,73,39.25,3,0.12,9.69
39.72 °N,86.3 °W,Indianapolis,IN,April,2015,79,54.5,30,0.13,10.81
39.72 °N,86.3 °W,Indianapolis,IN,May,2015,84,66.48,39,0.08,9.77
39.72 °N,86.3 °W,Indianapolis,IN,June,2015,89,72.01,50,0.28,9.6
39.72 °N,86.3 °W,Indianapolis,IN,July,2015,91,74,59,0.42,7.59
39.72 °N,86.3 °W,Indianapolis,IN,August,2015,89,72.45,52,0.05,7.45
39.72 °N,86.3 °W,Indianapolis,IN,September,2015,93,70.13,47,0.06,7.87
39.72 °N,86.3 °W,Indianapolis,IN,October,2015,81,56.24,30,0.06,10.37
39.72 °N,86.3 °W,Indianapolis,IN,November,2015,76,48.01,17,0.10,10.5
39.72 °N,86.3 °W,Indianapolis,IN,December,2015,70,42.53,21,0.18,10.66
39.72 °N,86.3 °W,Indianapolis,IN,January,2016,60,28.79,1,0.05,11.57
39.72 °N,86.3 °W,Indianapolis,IN,February,2016,71,34.4,7,0.08,12.04
39.72 °N,86.3 °W,Indianapolis,IN,March,2016,75,49.02,19,0.13,11.04
39.72 °N,86.3 °W,Indianapolis,IN,April,2016,83,53.71,26,0.17,10.88
39.72 °N,86.3 °W,Indianapolis,IN,May,2016,86,61.89,36,0.15,9.17
39.72 °N,86.3 °W,Indianapolis,IN,June,2016,92,74.06,52,0.15,8.95
39.72 °N,86.3 °W,Indianapolis,IN,July,2016,92,75.88,54,0.18,7.46
39.72 °N,86.3 °W,Indianapolis,IN,August,2016,92,76.83,59,0.24,7.19
39.72 °N,86.3 °W,Indianapolis,IN,September,2016,89,70.6,48,0.15,7.18
39.72 °N,86.3 °W,Indianapolis,IN,October,2016,84,59.95,39,0.07,9.47
39.72 °N,86.3 °W,Indianapolis,IN,November,2016,79,47.73,24,0.09,8.7
39.72 °N,86.3 °W,Indianapolis,IN,December,2016,65,30.5,-1,0.05,10.41
39.72 °N,86.3 °W,Indianapolis,IN,January,2017,66,35.14,-1,0.14,11.42
39.72 °N,86.3 °W,Indianapolis,IN,February,2017,74,42.88,13,0.02,11.4
39.72 °N,86.3 °W,Indianapolis,IN,March,2017,75,43.55,17,0.16,12.24
39.72 °N,86.3 °W,Indianapolis,IN,April,2017,83,58.97,0,0.16,11.39
39.72 °N,86.3 °W,Indianapolis,IN,May,2017,85,62.23,36,0.30,10.92
39.72 °N,86.3 °W,Indianapolis,IN,June,2017,90,72.3,51,0.15,9.93
39.72 °N,86.3 °W,Indianapolis,IN,July,2017,90,75.74,60,0.27,8.13
39.72 °N,86.3 °W,Indianapolis,IN,August,2017,91,72.63,54,0.06,7.42
39.72 °N,86.3 °W,Indianapolis,IN,September,2017,93,69.03,46,0.02,7.68
39.72 °N,86.3 °W,Indianapolis,IN,October,2017,83,57.54,30,0.10,9.12
39.72 °N,86.3 °W,Indianapolis,IN,November,2017,71,43.59,23,0.13,10.11
39.72 °N,86.3 °W,Indianapolis,IN,December,2017,64,30.34,-2,0.04,10.33
39.72 °N,86.3 °W,Indianapolis,IN,January,2018,58,25.62,-11,0.07,10.8
39.72 °N,86.3 °W,Indianapolis,IN,February,2018,77,37.37,3,0.17,11.24
39.72 °N,86.3 °W,Indianapolis,IN,March,2018,60,38.46,19,0.13,11.62
39.72 °N,86.3 °W,Indianapolis,IN,April,2018,78,46.98,25,0.18,11.3
39.72 °N,86.3 °W,Indianapolis,IN,May,2018,94,72.72,49,0.05,9.91
39.72 °N,86.3 °W,Indianapolis,IN,June,2018,92,75.13,56,0.13,8.62
39.72 °N,86.3 °W,Indianapolis,IN,July,2018,93,76.39,59,0.08,8.06
39.72 °N,86.3 °W,Indianapolis,IN,August,2018,91,75.48,56,0.16,8.28
39.72 °N,86.3 °W,Indianapolis,IN,September,2018,92,71.03,47,0.18,8.12
39.72 °N,86.3 °W,Indianapolis,IN,October,2018,85,55.7,28,0.06,9.95
39.72 °N,86.3 °W,Indianapolis,IN,November,2018,59,37.66,16,0.13,10.21
39.72 °N,86.3 °W,Indianapolis,IN,December,2018,60,36.08,17,0.10,9.78
39.72 °N,86.3 °W,Indianapolis,IN,January,2019,55,27.6,-10,0.11,11.87
39.72 °N,86.3 °W,Indianapolis,IN,February,2019,61,33.64,11,0.17,11.18
39.72 °N,86.3 °W,Indianapolis,IN,March,2019,71,38.11,3,0.16,10.78
39.72 °N,86.3 °W,Indianapolis,IN,April,2019,80,53.61,25,0.17,10.92
39.72 °N,86.3 °W,Indianapolis,IN,May,2019,86,64.16,41,0.13,9.52
39.72 °N,86.3 °W,Indianapolis,IN,June,2019,93,70.95,48,0.25,8.93
39.72 °N,86.3 °W,Indianapolis,IN,July,2019,93,77.7,59,0.12,8.39
39.72 °N,86.3 °W,Indianapolis,IN,August,2019,90,74.15,57,0.11,8.2
39.72 °N,86.3 °W,Indianapolis,IN,September,2019,91,73.21,53,0.02,7.74
39.72 °N,86.3 °W,Indianapolis,IN,October,2019,91,56.44,31,0.14,9.69
39.72 °N,86.3 °W,Indianapolis,IN,November,2019,60,37.85,9,0.08,9.69
39.72 °N,86.3 °W,Indianapolis,IN,December,2019,64,36.71,10,0.11,9.72
39.72 °N,86.3 °W,Indianapolis,IN,January,2020,63,34.84,9,0.17,9.83
39.72 °N,86.3 °W,Indianapolis,IN,February,2020,67,33.51,2,0.13,10.64
