Latitude,Longitude,City,State,Month,Year,Maximum Temperature,Average Temperature,Minimum Temperature,Precipitation Average,Wind Average
42.37 °N,71.02 °W,Boston,MA,January,2011,55,27.78,-2,0.00,10.76
42.37 °N,71.02 °W,Boston,MA,February,2011,59,30.67,13,0.00,11.72
42.37 °N,71.02 °W,Boston,MA,March,2011,69,38.81,12,0.00,12.31
42.37 °N,71.02 °W,Boston,MA,April,2011,79,49.39,33,0.00,11.78
42.37 °N,71.02 °W,Boston,MA,May,2011,86,58.16,45,0.00,10.65
42.37 °N,71.02 °W,Boston,MA,June,2011,91,66.68,50,0.00,9.88
42.37 °N,71.02 °W,Boston,MA,July,2011,102,76.45,0,0.00,9.35
42.37 °N,71.02 °W,Boston,MA,August,2011,91,73.02,0,0.00,9.51
42.37 °N,71.02 °W,Boston,MA,September,2011,86,66.79,49,0.00,8.7
42.37 °N,71.02 °W,Boston,MA,October,2011,86,56.99,0,0.00,11.03
42.37 °N,71.02 °W,Boston,MA,November,2011,69,50.15,32,0.00,10.3
42.37 °N,71.02 °W,Boston,MA,December,2011,62,40.5,19,0.00,10.34
42.37 °N,71.02 °W,Boston,MA,January,2012,59,34.16,6,0.00,11.48
42.37 °N,71.02 °W,Boston,MA,February,2012,59,37.34,16,0.00,10.61
42.37 °N,71.02 °W,Boston,MA,March,2012,82,45.9,20,0.00,10.89
42.37 °N,71.02 °W,Boston,MA,April,2012,84,52.47,35,0.00,11.71
42.37 °N,71.02 °W,Boston,MA,May,2012,85,59.62,45,0.00,8.17
42.37 °N,71.02 °W,Boston,MA,June,2012,96,66.46,50,0.00,10.41
42.37 °N,71.02 °W,Boston,MA,July,2012,96,74.79,61,0.00,8.95
42.37 °N,71.02 °W,Boston,MA,August,2012,92,74.2,61,0.00,8.66
42.37 °N,71.02 °W,Boston,MA,September,2012,82,64.63,49,0.00,9.43
42.37 °N,71.02 °W,Boston,MA,October,2012,78,56.26,35,0.00,10.05
42.37 °N,71.02 °W,Boston,MA,November,2012,65,41.63,30,0.00,10.69
42.37 °N,71.02 °W,Boston,MA,December,2012,61,38.47,21,0.00,11.35
42.37 °N,71.02 °W,Boston,MA,January,2013,60,31.96,4,0.00,11.54
42.37 °N,71.02 °W,Boston,MA,February,2013,47,31.02,15,0.00,12.46
42.37 °N,71.02 °W,Boston,MA,March,2013,58,37.39,21,0.00,12.56
42.37 °N,71.02 °W,Boston,MA,April,2013,75,47.86,31,0.00,12.29
42.37 °N,71.02 °W,Boston,MA,May,2013,93,58.32,41,0.00,9.8
42.37 °N,71.02 °W,Boston,MA,June,2013,95,68.57,53,0.00,10.64
42.37 °N,71.02 °W,Boston,MA,July,2013,99,75.84,60,0.00,9
42.37 °N,71.02 °W,Boston,MA,August,2013,88,71.69,59,0.00,9.04
42.37 °N,71.02 °W,Boston,MA,September,2013,96,64.25,44,0.00,8.77
42.37 °N,71.02 °W,Boston,MA,October,2013,81,56.29,36,0.00,8.93
42.37 °N,71.02 °W,Boston,MA,November,2013,72,42.62,19,0.00,11.59
42.37 °N,71.02 °W,Boston,MA,December,2013,57,33.43,9,0.00,10.25
42.37 °N,71.02 °W,Boston,MA,January,2014,58,27.25,1,0.00,11.79
42.37 °N,71.02 °W,Boston,MA,February,2014,55,29.17,8,0.00,11.2
42.37 °N,71.02 °W,Boston,MA,March,2014,60,33.14,12,0.12,11.71
42.37 °N,71.02 °W,Boston,MA,April,2014,75,47.58,31,0.10,11.91
42.37 °N,71.02 °W,Boston,MA,May,2014,84,57.93,43,0.10,10.02
42.37 °N,71.02 °W,Boston,MA,June,2014,88,68.29,52,0.09,9.82
42.37 °N,71.02 °W,Boston,MA,July,2014,91,73.4,59,0.14,10.37
42.37 °N,71.02 °W,Boston,MA,August,2014,90,70.21,58,0.03,8.91
42.37 °N,71.02 °W,Boston,MA,September,2014,92,65.71,47,0.04,8.89
42.37 °N,71.02 °W,Boston,MA,October,2014,81,56.05,0,0.19,11.12
42.37 °N,71.02 °W,Boston,MA,November,2014,66,42.55,23,0.18,10.99
42.37 °N,71.02 °W,Boston,MA,December,2014,63,38.28,18,0.21,10.99
42.37 °N,71.02 °W,Boston,MA,January,2015,52,26.49,-1,0.12,12.48
42.37 °N,71.02 °W,Boston,MA,February,2015,38,19.94,-3,0.12,12.03
42.37 °N,71.02 °W,Boston,MA,March,2015,56,32.88,0,0.10,11.08
42.37 °N,71.02 °W,Boston,MA,April,2015,69,47.73,30,0.08,11.7
42.37 °N,71.02 °W,Boston,MA,May,2015,88,61.26,39,0.02,11.1
42.37 °N,71.02 °W,Boston,MA,June,2015,87,63.83,46,0.16,9.67
42.37 °N,71.02 °W,Boston,MA,July,2015,92,73.35,59,0.07,8.9
42.37 °N,71.02 °W,Boston,MA,August,2015,90,73.66,61,0.07,8.72
42.37 °N,71.02 °W,Boston,MA,September,2015,94,68.94,48,0.07,9.46
42.37 °N,71.02 °W,Boston,MA,October,2015,75,53.88,31,0.11,11.5
42.37 °N,71.02 °W,Boston,MA,November,2015,74,48.6,28,0.07,10.22
42.37 °N,71.02 °W,Boston,MA,December,2015,69,44.9,25,0.14,8.79
42.37 °N,71.02 °W,Boston,MA,January,2016,58,32.31,8,0.10,12.31
42.37 °N,71.02 °W,Boston,MA,February,2016,64,34.66,-9,0.13,12.9
42.37 °N,71.02 °W,Boston,MA,March,2016,76,42.05,21,0.10,12
42.37 °N,71.02 °W,Boston,MA,April,2016,78,46.76,23,0.10,11.47
42.37 °N,71.02 °W,Boston,MA,May,2016,92,57.68,42,0.09,9.85
42.37 °N,71.02 °W,Boston,MA,June,2016,86,67.87,54,0.04,10.72
42.37 °N,71.02 °W,Boston,MA,July,2016,97,75.24,59,0.02,9.83
42.37 °N,71.02 °W,Boston,MA,August,2016,97,75.88,61,0.06,10.48
42.37 °N,71.02 °W,Boston,MA,September,2016,92,66.92,48,0.04,10.9
42.37 °N,71.02 °W,Boston,MA,October,2016,81,55.03,34,0.18,10.73
42.37 °N,71.02 °W,Boston,MA,November,2016,70,46.02,30,0.06,10.29
42.37 °N,71.02 °W,Boston,MA,December,2016,57,35.41,4,0.13,12.24
42.37 °N,71.02 °W,Boston,MA,January,2017,60,35.24,11,0.13,12.86
42.37 °N,71.02 °W,Boston,MA,February,2017,72,36.13,12,0.08,12.74
42.37 °N,71.02 °W,Boston,MA,March,2017,62,33.88,9,0.08,13.82
42.37 °N,71.02 °W,Boston,MA,April,2017,85,50.94,33,0.22,12.32
42.37 °N,71.02 °W,Boston,MA,May,2017,95,56.02,43,0.11,11.1
42.37 °N,71.02 °W,Boston,MA,June,2017,95,69,47,0.16,11.57
42.37 °N,71.02 °W,Boston,MA,July,2017,91,71.94,56,0.13,9.82
42.37 °N,71.02 °W,Boston,MA,August,2017,90,71.45,58,0.05,9.28
42.37 °N,71.02 °W,Boston,MA,September,2017,87,66.39,50,0.08,10.69
42.37 °N,71.02 °W,Boston,MA,October,2017,80,61.33,41,0.16,11.14
42.37 °N,71.02 °W,Boston,MA,November,2017,74,44.2,23,0.06,11.23
42.37 °N,71.02 °W,Boston,MA,December,2017,58,30.44,2,0.08,11.48
42.37 °N,71.02 °W,Boston,MA,January,2018,60,29.01,-2,0.13,13.47
42.37 °N,71.02 °W,Boston,MA,February,2018,71,38.32,10,0.13,10.89
42.37 °N,71.02 °W,Boston,MA,March,2018,63,36.51,16,0.08,15.01
42.37 °N,71.02 °W,Boston,MA,April,2018,68,44.61,29,0.15,11.83
42.37 °N,71.02 °W,Boston,MA,May,2018,89,60.83,44,0.04,9.94
42.37 °N,71.02 °W,Boston,MA,June,2018,89,67.48,0,0.10,10.24
42.37 °N,71.02 °W,Boston,MA,July,2018,97,75.63,62,0.15,9.86
42.37 °N,71.02 °W,Boston,MA,August,2018,97,76.68,62,0.15,9.66
42.37 °N,71.02 °W,Boston,MA,September,2018,97,68.38,53,0.15,9.84
42.37 °N,71.02 °W,Boston,MA,October,2018,85,54.29,34,0.12,11.35
42.37 °N,71.02 °W,Boston,MA,November,2018,69,43.13,14,0.31,12.72
42.37 °N,71.02 °W,Boston,MA,December,2018,64,37.42,20,0.07,10.82
42.37 °N,71.02 °W,Boston,MA,January,2019,59,31.24,5,0.13,12.97
42.37 °N,71.02 °W,Boston,MA,February,2019,65,33.54,11,0.12,11.97
42.37 °N,71.02 °W,Boston,MA,March,2019,67,38.81,15,0.09,12.26
42.37 °N,71.02 °W,Boston,MA,April,2019,77,50.43,31,0.22,12.47
42.37 °N,71.02 °W,Boston,MA,May,2019,87,57.18,43,0.11,10.76
42.37 °N,71.02 °W,Boston,MA,June,2019,87,67.57,53,0.17,9.91
42.37 °N,71.02 °W,Boston,MA,July,2019,97,78.11,63,0.15,9.52
42.37 °N,71.02 °W,Boston,MA,August,2019,93,73.75,57,0.08,9.4
42.37 °N,71.02 °W,Boston,MA,September,2019,92,67.52,50,0.07,10.24
42.37 °N,71.02 °W,Boston,MA,October,2019,80,57.58,43,0.14,11.8
42.37 °N,71.02 °W,Boston,MA,November,2019,72,42.73,21,0.10,11.95
42.37 °N,71.02 °W,Boston,MA,December,2019,63,37.47,15,0.19,12.14
42.37 °N,71.02 °W,Boston,MA,January,2020,73,38.14,14,0.05,11.43
42.37 °N,71.02 °W,Boston,MA,February,2020,64,37.96,12,0.11,10.62
42.37 °N,71.02 °W,Boston,MA,March,2020,72,41.63,19,0.11,12.89
42.37 °N,71.02 °W,Boston,MA,April,2020,62,44.47,31,0.14,13.66
42.37 °N,71.02 °W,Boston,MA,May,2020,83,56.48,34,0.07,11.89
42.37 °N,71.02 °W,Boston,MA,June,2020,91,68.44,48,0.08,9.13
42.37 °N,71.02 °W,Boston,MA,July,2020,95,74.58,60,0.07,9.7
42.37 °N,71.02 °W,Boston,MA,August,2020,93,73.32,58,0.07,9.89
42.37 °N,71.02 °W,Boston,MA,September,2020,85,65,44,0.03,9.78
42.37 °N,71.02 °W,Boston,MA,October,2020,77,54.24,28,0.16,10.39
42.37 °N,71.02 °W,Boston,MA,November,2020,74,47.99,23,0.12,11.28
42.37 °N,71.02 °W,Boston,MA,December,2020,63,36.19,16,0.18,11.96
42.37 °N,71.02 °W,Boston,MA,January,2021,51,31.01,7,0.07,11.5
42.37 °N,71.02 °W,Boston,MA,February,2021,49,30.74,11,0.11,11.06
42.37 °N,71.02 °W,Boston,MA,March,2021,74,42,0,0.06,12.48
42.37 °N,71.02 °W,Boston,MA,April,2021,75,50.45,29,0.15,11.82
42.37 °N,71.02 °W,Boston,MA,May,2021,92,61.36,44,0.16,11.28
42.37 °N,71.02 °W,Boston,MA,June,2021,98,74.1,55,0.08,10.08
42.37 °N,71.02 °W,Boston,MA,July,2021,94,71.6,57,0.33,9.38
42.37 °N,71.02 °W,Boston,MA,August,2021,95,76.26,64,0.23,8.89
42.37 °N,71.02 °W,Boston,MA,September,2021,85,69.48,52,0.25,9.52
42.37 °N,71.02 °W,Boston,MA,October,2021,77,59.52,0,0.15,11.31
42.37 °N,71.02 °W,Boston,MA,November,2021,70,44.89,26,0.04,10.53
42.37 °N,71.02 °W,Boston,MA,December,2021,64,39.44,20,0.08,10.13
