Latitude,Longitude,City,State,Month,Year,Maximum Temperature,Average Temperature,Minimum Temperature,Precipitation Average,Wind Average
40.76 °N,73.86 °W,New,York,January,2011,52,31.93,9,0.00,10.63
40.76 °N,73.86 °W,New,York,February,2011,67,36.15,16,0.00,12.2
40.76 °N,73.86 °W,New,York,March,2011,74,41.34,19,0.00,12.83
40.76 °N,73.86 °W,New,York,April,2011,80,51.59,36,0.00,11.19
40.76 °N,73.86 °W,New,York,May,2011,86,62.33,47,0.00,9.29
40.76 °N,73.86 °W,New,York,June,2011,97,71.99,55,0.00,8.81
40.76 °N,73.86 °W,New,York,July,2011,103,79.79,33,0.00,8.36
40.76 °N,73.86 °W,New,York,August,2011,127,75.22,62,0.00,8.9
40.76 °N,73.86 °W,New,York,September,2011,85,69.92,52,0.00,8.73
40.76 °N,73.86 °W,New,York,October,2011,84,58.12,33,0.00,10.45
40.76 °N,73.86 °W,New,York,November,2011,68,51.82,37,0.00,9.1
40.76 °N,73.86 °W,New,York,December,2011,61,43.59,23,0.00,9.98
40.76 °N,73.86 °W,New,York,January,2012,62,37.31,14,0.00,12.1
40.76 °N,73.86 °W,New,York,February,2012,63,41.17,22,0.00,11.15
40.76 °N,73.86 °W,New,York,March,2012,75,49.8,27,0.00,10.67
40.76 °N,73.86 °W,New,York,April,2012,85,55.37,40,0.00,11.49
40.76 °N,73.86 °W,New,York,May,2012,90,64.98,50,0.00,8.63
40.76 °N,73.86 °W,New,York,June,2012,98,72.01,54,0.00,9.21
40.76 °N,73.86 °W,New,York,July,2012,100,79.53,63,0.00,9.07
40.76 °N,73.86 °W,New,York,August,2012,93,78.03,66,0.00,8.01
40.76 °N,73.86 °W,New,York,September,2012,88,70.06,57,0.00,9.41
40.76 °N,73.86 °W,New,York,October,2012,80,59.96,42,0.00,10.69
40.76 °N,73.86 °W,New,York,November,2012,65,44.78,33,0.00,10.82
40.76 °N,73.86 °W,New,York,December,2012,61,42.42,29,0.00,11.82
40.76 °N,73.86 °W,New,York,January,2013,59,36.03,12,0.00,11.38
40.76 °N,73.86 °W,New,York,February,2013,52,34.28,19,0.00,12.2
40.76 °N,73.86 °W,New,York,March,2013,57,39.91,28,0.00,13.14
40.76 °N,73.86 °W,New,York,April,2013,80,51.95,34,0.00,11
40.76 °N,73.86 °W,New,York,May,2013,93,62.3,45,0.00,9.44
40.76 °N,73.86 °W,New,York,June,2013,94,72.87,55,0.00,10.26
40.76 °N,73.86 °W,New,York,July,2013,99,80.52,64,0.00,9.4
40.76 °N,73.86 °W,New,York,August,2013,89,74.89,62,0.00,8.42
40.76 °N,73.86 °W,New,York,September,2013,93,67.83,50,0.00,8.84
40.76 °N,73.86 °W,New,York,October,2013,85,60.44,42,0.00,10.3
40.76 °N,73.86 °W,New,York,November,2013,70,45.34,24,0.00,12.08
40.76 °N,73.86 °W,New,York,December,2013,69,38.11,20,0.00,10.39
40.76 °N,73.86 °W,New,York,January,2014,55,28.71,4,0.00,11.62
40.76 °N,73.86 °W,New,York,February,2014,54,31.21,10,0.00,10.9
40.76 °N,73.86 °W,New,York,March,2014,65,36.86,13,0.11,12.14
40.76 °N,73.86 °W,New,York,April,2014,72,50.11,32,0.12,11.24
40.76 °N,73.86 °W,New,York,May,2014,86,62.91,48,0.30,9.56
40.76 °N,73.86 °W,New,York,June,2014,87,71.62,57,0.12,9.15
40.76 °N,73.86 °W,New,York,July,2014,93,76.16,65,0.13,9.47
40.76 °N,73.86 °W,New,York,August,2014,89,74.51,64,0.06,8.3
40.76 °N,73.86 °W,New,York,September,2014,92,70.08,54,0.07,8.73
40.76 °N,73.86 °W,New,York,October,2014,76,60.11,0,0.13,11.09
