Latitude,Longitude,City,State,Month,Year,Maximum Temperature,Average Temperature,Minimum Temperature,Precipitation Average,Wind Average
29.64 °N,95.28 °W,Houston,TX,January,2011,76,53.38,30,0.00,8.13
29.64 °N,95.28 °W,Houston,TX,February,2011,81,56.05,24,0.00,9.66
29.64 °N,95.28 °W,Houston,TX,March,2011,86,67.28,44,0.00,7.92
29.64 °N,95.28 °W,Houston,TX,April,2011,93,74.25,52,0.00,10.55
29.64 °N,95.28 °W,Houston,TX,May,2011,97,77,53,0.00,10.27
29.64 °N,95.28 °W,Houston,TX,June,2011,101,84.52,68,0.00,7.46
29.64 °N,95.28 °W,Houston,TX,July,2011,98,85.05,72,0.00,6.22
29.64 °N,95.28 °W,Houston,TX,August,2011,106,87.27,0,0.00,6.07
29.64 °N,95.28 °W,Houston,TX,September,2011,99,81.3,0,0.00,7.46
29.64 °N,95.28 °W,Houston,TX,October,2011,87,71.42,46,0.00,6.88
29.64 °N,95.28 °W,Houston,TX,November,2011,84,63.91,32,0.00,8.9
29.64 °N,95.28 °W,Houston,TX,December,2011,79,55.91,32,0.00,8.33
29.64 °N,95.28 °W,Houston,TX,January,2012,78,59.66,32,0.00,8.26
29.64 °N,95.28 °W,Houston,TX,February,2012,81,60.01,35,0.00,8.69
29.64 °N,95.28 °W,Houston,TX,March,2012,84,68.52,44,0.00,8.37
29.64 °N,95.28 °W,Houston,TX,April,2012,87,72.85,0,0.00,8.23
29.64 °N,95.28 °W,Houston,TX,May,2012,92,77.82,66,0.00,6.64
29.64 °N,95.28 °W,Houston,TX,June,2012,102,83.1,0,0.00,6.23
29.64 °N,95.28 °W,Houston,TX,July,2012,95,82.01,72,0.00,5.27
29.64 °N,95.28 °W,Houston,TX,August,2012,99,84.49,73,0.00,6.3
29.64 °N,95.28 °W,Houston,TX,September,2012,95,78.13,61,0.00,5.84
29.64 °N,95.28 °W,Houston,TX,October,2012,87,69.66,45,0.00,6.94
29.64 °N,95.28 °W,Houston,TX,November,2012,87,63.8,44,0.00,6.1
29.64 °N,95.28 °W,Houston,TX,December,2012,83,60.38,34,0.00,8.1
29.64 °N,95.28 °W,Houston,TX,January,2013,80,55.66,31,0.00,8.71
29.64 °N,95.28 °W,Houston,TX,February,2013,78,60.27,39,0.00,8.93
29.64 °N,95.28 °W,Houston,TX,March,2013,88,62.24,37,0.00,9.16
29.64 °N,95.28 °W,Houston,TX,April,2013,82,66.34,44,0.00,9.14
29.64 °N,95.28 °W,Houston,TX,May,2013,90,74.68,47,0.00,8.85
29.64 °N,95.28 °W,Houston,TX,June,2013,104,83.73,71,0.00,6.36
29.64 °N,95.28 °W,Houston,TX,July,2013,98,83.76,72,0.00,6.4
29.64 °N,95.28 °W,Houston,TX,August,2013,99,83.71,72,0.00,5.91
29.64 °N,95.28 °W,Houston,TX,September,2013,97,81.8,67,0.00,6.42
29.64 °N,95.28 °W,Houston,TX,October,2013,90,71.95,50,0.00,5.92
29.64 °N,95.28 °W,Houston,TX,November,2013,85,59.16,34,0.00,8.84
29.64 °N,95.28 °W,Houston,TX,December,2013,80,52.57,33,0.00,7.38
29.64 °N,95.28 °W,Houston,TX,January,2014,77,51.69,25,0.00,9.15
29.64 °N,95.28 °W,Houston,TX,February,2014,81,55.06,33,0.00,8.89
29.64 °N,95.28 °W,Houston,TX,March,2014,83,59.69,28,0.04,8.98
29.64 °N,95.28 °W,Houston,TX,April,2014,92,68.51,43,0.04,9.21
29.64 °N,95.28 °W,Houston,TX,May,2014,88,73.73,51,0.12,8.51
