Latitude,Longitude,City,State,Month,Year,Maximum Temperature,Average Temperature,Minimum Temperature,Precipitation Average,Wind Average
47.44 °N,122.3 °W,SeaTac,WA,January,2011,55,41.8,26,0.00,7.95
47.44 °N,122.3 °W,SeaTac,WA,February,2011,54,39.04,20,0.00,8.93
47.44 °N,122.3 °W,SeaTac,WA,March,2011,61,44.84,33,0.00,10.02
47.44 °N,122.3 °W,SeaTac,WA,April,2011,66,44.86,34,0.00,8.26
47.44 °N,122.3 °W,SeaTac,WA,May,2011,69,51.65,40,0.00,7.13
47.44 °N,122.3 °W,SeaTac,WA,June,2011,77,58.03,47,0.00,6.86
47.44 °N,122.3 °W,SeaTac,WA,July,2011,83,62.75,50,0.00,7.47
47.44 °N,122.3 °W,SeaTac,WA,August,2011,85,64.7,52,0.00,5.91
47.44 °N,122.3 °W,SeaTac,WA,September,2011,85,63.09,46,0.00,6.21
47.44 °N,122.3 °W,SeaTac,WA,October,2011,67,51.47,38,0.00,6.28
47.44 °N,122.3 °W,SeaTac,WA,November,2011,61,42.93,27,0.00,8.01
47.44 °N,122.3 °W,SeaTac,WA,December,2011,54,39.36,27,0.00,5.81
47.44 °N,122.3 °W,SeaTac,WA,January,2012,54,39.91,27,0.00,8.81
47.44 °N,122.3 °W,SeaTac,WA,February,2012,61,43.36,29,0.00,8.86
47.44 °N,122.3 °W,SeaTac,WA,March,2012,60,42.81,30,0.00,9.52
47.44 °N,122.3 °W,SeaTac,WA,April,2012,74,50.18,35,0.00,7.54
47.44 °N,122.3 °W,SeaTac,WA,May,2012,79,54.66,39,0.00,7.52
47.44 °N,122.3 °W,SeaTac,WA,June,2012,75,57.5,43,0.00,7.01
47.44 °N,122.3 °W,SeaTac,WA,July,2012,82,62.93,51,0.00,6.43
47.44 °N,122.3 °W,SeaTac,WA,August,2012,93,67,50,0.00,6.33
47.44 °N,122.3 °W,SeaTac,WA,September,2012,89,61.56,48,0.00,5.96
47.44 °N,122.3 °W,SeaTac,WA,October,2012,74,53.25,37,0.00,7.89
47.44 °N,122.3 °W,SeaTac,WA,November,2012,64,46.55,32,0.00,7.26
47.44 °N,122.3 °W,SeaTac,WA,December,2012,54,41.34,30,0.00,8.62
47.44 °N,122.3 °W,SeaTac,WA,January,2013,54,38.17,24,0.00,6.44
47.44 °N,122.3 °W,SeaTac,WA,February,2013,56,44.14,35,0.00,8.21
47.44 °N,122.3 °W,SeaTac,WA,March,2013,69,47.43,33,0.00,7.78
47.44 °N,122.3 °W,SeaTac,WA,April,2013,71,49.94,38,0.00,8.37
47.44 °N,122.3 °W,SeaTac,WA,May,2013,87,57.55,38,0.00,7.12
47.44 °N,122.3 °W,SeaTac,WA,June,2013,92,63.48,50,0.00,6.82
47.44 °N,122.3 °W,SeaTac,WA,July,2013,88,66.57,53,0.00,6.05
47.44 °N,122.3 °W,SeaTac,WA,August,2013,87,67.99,55,0.00,5.67
47.44 °N,122.3 °W,SeaTac,WA,September,2013,93,61.99,46,0.00,6.7
47.44 °N,122.3 °W,SeaTac,WA,October,2013,73,50.83,39,0.00,5.07
47.44 °N,122.3 °W,SeaTac,WA,November,2013,64,47.47,32,0.00,7.16
47.44 °N,122.3 °W,SeaTac,WA,December,2013,56,39.92,19,0.00,5.97
47.44 °N,122.3 °W,SeaTac,WA,January,2014,58,43.35,30,0.00,7.44
